Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model 1]	Parameter Value[Column type 1]	Parameter Value[Column model 2]	Parameter Value[Column type 2]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
SW620	Extraction	water milli-Q	other	SW620-LC-MS/MS	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860	Acclaim PepMap100 C18 100 Å (5 µm, 0.1 mm × 20 mm; Thermo Scientific)	reverse phase	Acclaim PepMap RSLC C18 100 Å (2 µm, 0.075 mm × 150 mm; Thermo Scientific)	reverse phase		2-AA			Mass spectrometry	positive	100-3000	Bruker CaptiveSpray nanoBooster and amaZon speed	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000623	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	ion trap	MS	http://purl.obolibrary.org/obo/MS_1000264	37382-A03-1 SW620_01		Data transformation	37382-A03-1 SW620_01	FILES/37382-A03-1 SW620_01.mzML	Metabolite identification	37382-A03-1 SW620_01	m_MTBLS227_Assay3-LC-MSMS_v2_maf.tsv
CaCo2	Extraction	water milli-Q	other	CaCo2-LC-MS/MS	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860	Acclaim PepMap100 C18 100 Å (5 µm, 0.1 mm × 20 mm; Thermo Scientific)	reverse phase	Acclaim PepMap RSLC C18 100 Å (2 µm, 0.075 mm × 150 mm; Thermo Scientific)	reverse phase		2-AA			Mass spectrometry	positive	100-3000	Bruker CaptiveSpray nanoBooster and amaZon speed	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000623	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	ion trap	MS	http://purl.obolibrary.org/obo/MS_1000264	37382-A04-2 CaCo2_01		Data transformation	37382-A04-2 CaCo2_01	FILES/37382-A04-2 CaCo2_01.mzML	Metabolite identification	37382-A04-2 CaCo2_01	m_MTBLS227_Assay3-LC-MSMS_v2_maf.tsv
CaCo2	Extraction	water milli-Q	other	CaCo2-LC-MS/MS	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860	Acclaim PepMap100 C18 100 Å (5 µm, 0.1 mm × 20 mm; Thermo Scientific)	reverse phase	Acclaim PepMap RSLC C18 100 Å (2 µm, 0.075 mm × 150 mm; Thermo Scientific)	reverse phase		2-AA			Mass spectrometry	positive	100-3000	Bruker CaptiveSpray nanoBooster and amaZon speed	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000623	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	ion trap	MS	http://purl.obolibrary.org/obo/MS_1000264	37382-A04-2 CaCo2_02 MS2		Data transformation	37382-A04-2 CaCo2_02 MS2	FILES/37382-A04-2 CaCo2_02 MS2.mzML	Metabolite identification	37382-A04-2 CaCo2_02 MS2	m_MTBLS227_Assay3-LC-MSMS_v2_maf.tsv
CaCo2	Extraction	water milli-Q	other	CaCo2-LC-MS/MS	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860	Acclaim PepMap100 C18 100 Å (5 µm, 0.1 mm × 20 mm; Thermo Scientific)	reverse phase	Acclaim PepMap RSLC C18 100 Å (2 µm, 0.075 mm × 150 mm; Thermo Scientific)	reverse phase		2-AA			Mass spectrometry	positive	100-3000	Bruker CaptiveSpray nanoBooster and amaZon speed	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000623	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	ion trap	MS	http://purl.obolibrary.org/obo/MS_1000264	37382-A04-2 CaCo2_03 MS2		Data transformation	37382-A04-2 CaCo2_03 MS2	FILES/37382-A04-2 CaCo2_03 MS2.mzML	Metabolite identification	37382-A04-2 CaCo2_03 MS2	m_MTBLS227_Assay3-LC-MSMS_v2_maf.tsv
CaCo2	Extraction	water milli-Q	other	CaCo2-LC-MS/MS	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860	Acclaim PepMap100 C18 100 Å (5 µm, 0.1 mm × 20 mm; Thermo Scientific)	reverse phase	Acclaim PepMap RSLC C18 100 Å (2 µm, 0.075 mm × 150 mm; Thermo Scientific)	reverse phase		2-AA			Mass spectrometry	positive	100-3000	Bruker CaptiveSpray nanoBooster and amaZon speed	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000623	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	ion trap	MS	http://purl.obolibrary.org/obo/MS_1000264	37382-A04-2 CaCo2_04 MS2		Data transformation	37382-A04-2 CaCo2_04 MS2	FILES/37382-A04-2 CaCo2_04 MS2.mzML	Metabolite identification	37382-A04-2 CaCo2_04 MS2	m_MTBLS227_Assay3-LC-MSMS_v2_maf.tsv
CaCo2	Extraction	water milli-Q	other	CaCo2-LC-MS/MS	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860	Acclaim PepMap100 C18 100 Å (5 µm, 0.1 mm × 20 mm; Thermo Scientific)	reverse phase	Acclaim PepMap RSLC C18 100 Å (2 µm, 0.075 mm × 150 mm; Thermo Scientific)	reverse phase		2-AA			Mass spectrometry	positive	100-3000	Bruker CaptiveSpray nanoBooster and amaZon speed	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000623	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	ion trap	MS	http://purl.obolibrary.org/obo/MS_1000264	37382-A04-2 CaCo2_05 MS3		Data transformation	37382-A04-2 CaCo2_05 MS3	FILES/37382-A04-2 CaCo2_05 MS3 interrupted after 20min.mzML	Metabolite identification	37382-A04-2 CaCo2_05 MS3	m_MTBLS227_Assay3-LC-MSMS_v2_maf.tsv
SW1116	Extraction	water milli-Q	other	SW1116-LC-MS/MS	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860	Acclaim PepMap100 C18 100 Å (5 µm, 0.1 mm × 20 mm; Thermo Scientific)	reverse phase	Acclaim PepMap RSLC C18 100 Å (2 µm, 0.075 mm × 150 mm; Thermo Scientific)	reverse phase		2-AA			Mass spectrometry	positive	100-3000	Bruker CaptiveSpray nanoBooster and amaZon speed	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000623	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	ion trap	MS	http://purl.obolibrary.org/obo/MS_1000264	37382-A06-1 SW1116_01		Data transformation	37382-A06-1 SW1116_01	FILES/37382-A06-1 SW1116_01.mzML	Metabolite identification	37382-A06-1 SW1116_01	m_MTBLS227_Assay3-LC-MSMS_v2_maf.tsv
SW1116	Extraction	water milli-Q	other	SW1116-LC-MS/MS	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860	Acclaim PepMap100 C18 100 Å (5 µm, 0.1 mm × 20 mm; Thermo Scientific)	reverse phase	Acclaim PepMap RSLC C18 100 Å (2 µm, 0.075 mm × 150 mm; Thermo Scientific)	reverse phase		2-AA			Mass spectrometry	positive	100-3000	Bruker CaptiveSpray nanoBooster and amaZon speed	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000623	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	ion trap	MS	http://purl.obolibrary.org/obo/MS_1000264	37382-A06-1 SW1116_02 MS2		Data transformation	37382-A06-1 SW1116_02 MS2	FILES/37382-A06-1 SW1116_02 MS2.mzML	Metabolite identification	37382-A06-1 SW1116_02 MS2	m_MTBLS227_Assay3-LC-MSMS_v2_maf.tsv
SW1116	Extraction	water milli-Q	other	SW1116-LC-MS/MS	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860	Acclaim PepMap100 C18 100 Å (5 µm, 0.1 mm × 20 mm; Thermo Scientific)	reverse phase	Acclaim PepMap RSLC C18 100 Å (2 µm, 0.075 mm × 150 mm; Thermo Scientific)	reverse phase		2-AA			Mass spectrometry	positive	100-3000	Bruker CaptiveSpray nanoBooster and amaZon speed	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000623	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	ion trap	MS	http://purl.obolibrary.org/obo/MS_1000264	37382-A06-1 SW1116_04 MS2		Data transformation	37382-A06-1 SW1116_04 MS2	FILES/37382-A06-1 SW1116_04 MS2.mzML	Metabolite identification	37382-A06-1 SW1116_04 MS2	m_MTBLS227_Assay3-LC-MSMS_v2_maf.tsv
Colo205_VUmc	Extraction	water milli-Q	other	Colo205_VUmc-LC-MS/MS	Chromatography	Thermo Scientific Dionex UltiMate 3000 RSLCnano System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000860	Acclaim PepMap100 C18 100 Å (5 µm, 0.1 mm × 20 mm; Thermo Scientific)	reverse phase	Acclaim PepMap RSLC C18 100 Å (2 µm, 0.075 mm × 150 mm; Thermo Scientific)	reverse phase		2-AA			Mass spectrometry	positive	100-3000	Bruker CaptiveSpray nanoBooster and amaZon speed	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000623	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	ion trap	MS	http://purl.obolibrary.org/obo/MS_1000264	37382-A06-2 Colo205_VUmc_01		Data transformation	37382-A06-2 Colo205_VUmc_01	FILES/37382-A06-2 Colo205_VUmc_01.mzML	Metabolite identification	37382-A06-2 Colo205_VUmc_01	m_MTBLS227_Assay3-LC-MSMS_v2_maf.tsv
